Date,Close
1/2/2015 16:00:00,27.6
1/5/2015 16:00:00,27.55
1/6/2015 16:00:00,26.27
1/7/2015 16:00:00,26.27
1/8/2015 16:00:00,26.52
1/9/2015 16:00:00,27.25
1/12/2015 16:00:00,26.64
1/13/2015 16:00:00,26.14
1/14/2015 16:00:00,25.42
1/15/2015 16:00:00,25.14
1/16/2015 16:00:00,25.28
1/19/2015 16:00:00,25.89
1/20/2015 16:00:00,25.68
1/21/2015 16:00:00,26.21
1/22/2015 16:00:00,26.96
1/23/2015 16:00:00,27.45
1/27/2015 16:00:00,27.05
1/28/2015 16:00:00,27.04
1/29/2015 16:00:00,27.05
1/30/2015 16:00:00,27.34
2/2/2015 16:00:00,27.66
2/3/2015 16:00:00,28.64
2/4/2015 16:00:00,29.89
2/5/2015 16:00:00,29.3
2/6/2015 16:00:00,29.48
2/9/2015 16:00:00,29.18
2/10/2015 16:00:00,29.33
2/11/2015 16:00:00,28.94
2/12/2015 16:00:00,28.69
2/13/2015 16:00:00,30.06
2/16/2015 16:00:00,30.43
2/17/2015 16:00:00,30.42
2/18/2015 16:00:00,30.82
2/19/2015 16:00:00,30.37
2/20/2015 16:00:00,30.18
2/23/2015 16:00:00,30.01
2/24/2015 16:00:00,30.89
2/25/2015 16:00:00,31.3
2/26/2015 16:00:00,31.36
2/27/2015 16:00:00,31.44
3/2/2015 16:00:00,31.88
3/3/2015 16:00:00,31.34
3/4/2015 16:00:00,31.13
3/5/2015 16:00:00,30.99
3/6/2015 16:00:00,30.5
3/9/2015 16:00:00,30.04
3/10/2015 16:00:00,29.82
3/11/2015 16:00:00,28.34
3/12/2015 16:00:00,28.22
3/13/2015 16:00:00,27.81
3/16/2015 16:00:00,27.47
3/17/2015 16:00:00,27.82
3/18/2015 16:00:00,28.22
3/19/2015 16:00:00,28.58
3/20/2015 16:00:00,28.66
3/23/2015 16:00:00,28.97
3/24/2015 16:00:00,29.17
3/25/2015 16:00:00,29.07
3/26/2015 16:00:00,28.76
3/27/2015 16:00:00,28.73
3/30/2015 16:00:00,28.13
3/31/2015 16:00:00,29
4/1/2015 16:00:00,28.35
4/2/2015 16:00:00,28.24
4/7/2015 16:00:00,28.45
4/8/2015 16:00:00,28.72
4/9/2015 16:00:00,28.21
4/10/2015 16:00:00,28.16
4/13/2015 16:00:00,27.49
4/14/2015 16:00:00,27.21
4/15/2015 16:00:00,27.58
4/16/2015 16:00:00,28.25
4/17/2015 16:00:00,28.01
4/20/2015 16:00:00,27.87
4/21/2015 16:00:00,28.59
4/22/2015 16:00:00,28.29
4/23/2015 16:00:00,29.02
4/24/2015 16:00:00,29.95
4/27/2015 16:00:00,30.43
4/28/2015 16:00:00,30.29
4/29/2015 16:00:00,29.94
4/30/2015 16:00:00,29.87
5/1/2015 16:00:00,30.37
5/4/2015 16:00:00,31.16
5/6/2015 16:00:00,30.23
5/7/2015 16:00:00,29.8
5/8/2015 16:00:00,29.25
5/11/2015 16:00:00,29.73
5/12/2015 16:00:00,30.4
5/13/2015 16:00:00,30.37
5/14/2015 16:00:00,29.87
5/15/2015 16:00:00,30.36
5/18/2015 16:00:00,30.13
5/19/2015 16:00:00,29.63
5/20/2015 16:00:00,28.82
5/21/2015 16:00:00,29.24
5/22/2015 16:00:00,29.25
5/25/2015 16:00:00,29.48
5/26/2015 16:00:00,29.82
5/27/2015 16:00:00,29.34
5/28/2015 16:00:00,29.2
5/29/2015 16:00:00,29.59
6/1/2015 16:00:00,29.19
6/2/2015 16:00:00,28.33
6/3/2015 16:00:00,28.53
6/4/2015 16:00:00,28.09
6/5/2015 16:00:00,27.9
6/9/2015 16:00:00,27.6
6/10/2015 16:00:00,27.66
6/11/2015 16:00:00,28.23
6/12/2015 16:00:00,27.9
6/15/2015 16:00:00,27.92
6/16/2015 16:00:00,27.75
6/17/2015 16:00:00,28.17
6/18/2015 16:00:00,27.97
6/19/2015 16:00:00,28.41
6/22/2015 16:00:00,28.32
6/23/2015 16:00:00,28.61
6/24/2015 16:00:00,28.55
6/25/2015 16:00:00,28.51
6/26/2015 16:00:00,27.5
6/29/2015 16:00:00,26.95
6/30/2015 16:00:00,27.05
7/1/2015 16:00:00,26.65
7/2/2015 16:00:00,27
7/3/2015 16:00:00,26.59
7/6/2015 16:00:00,26.01
